# SQL injection payload corpus for skills/sql-injection/SKILL.md — one
# file, four phases.
#
# This file has four sections, separated by banners below. They carry
# different authorization requirements even though they're in one file:
#
#   - Phase 1 (top section): no checkpoint beyond normal scope
#     confirmation. Syntax-sensitivity probes only — used to see whether
#     the input is parsed as part of a query at all.
#
#   - Phase 2 section: boolean-, error-, and time-based confirmation
#     probes, covering MySQL, Postgres, MSSQL, Oracle, and SQLite. Still
#     non-destructive and non-extractive; used to turn a Phase 1 signal
#     into a repeatable, confirmed result. See SKILL.md "Engine
#     identification" before picking which engine's payloads to try —
#     don't fire every engine's syntax at the same live target
#     speculatively.
#
#   - Phase 2D section: out-of-band (DNS/HTTP callback) confirmation.
#     Requires its OWN separate ask_user authorization (including the
#     specific callback domain to use) — distinct from and in addition to
#     Phase 3's authorization. Only use after 2a/2b/2c have all been tried
#     and were inconclusive. Never use a public/shared third-party OOB
#     service without explicit user confirmation that it's in scope.
#
#     IMPORTANT — CURRENT KAGENT CAPABILITY:
#     KAgent currently does not expose an OOB callback/listener tool.
#     Therefore Phase 2D payloads MUST NOT be executed in the current
#     runtime. Do not invoke them through shell, http, or another
#     substitute mechanism. They are retained only as future payload
#     definitions for an environment that provides an approved OOB
#     callback capability — see SKILL.md "Phase 2d capability check".
#
#   - Phase 3 section: requires a separate, additional ask_user
#     authorization, obtained after SQL injection is already confirmed at
#     SQLI-2. Reading further into this file for an earlier phase does not
#     grant permission to use a later section. Per SKILL.md, Phase 3 never
#     runs automatically just because its payloads happen to be in the
#     same file you already read — see SKILL.md "Relationship to
#     payloads.txt" for how gating and payload content are deliberately
#     kept separate.
#
# Only use the section that matches the phase you are currently
# authorized for. Do not skip ahead because a later section is visible in
# the same file. None of these payloads perform UNION-based column/table
# enumeration or data extraction — that stays out of scope for this
# corpus regardless of phase.
#
# Annotation convention (applies to every payload in every section below):
# each payload line is followed by a comment giving (a) its purpose, (b)
# the condition under which it applies, and (c) any limit on what it may
# be used for. This is kept consistent across Phase 1, 2, 2D, and 3 so the
# level of context doesn't drop off in later sections.

# ============================================================================
# ========================== PHASE 1 — DETECTION =============================
# ============================================================================
# Syntax-sensitivity probes only. These probes are intended to test parser
# sensitivity and syntax boundaries; they are not intended to extract,
# modify, or enumerate application data. (Note: some of these — e.g. `;`
# and `--` — can still change how the parser terminates or comments out the
# remainder of a statement, which is exactly the syntax-boundary signal
# being tested for; that is distinct from deliberately injecting query
# logic, which starts in Phase 2.)

'                           # purpose: single quote, classic string-context break | applies: any string-context parameter | limit: syntax probe only, no query logic injected
"                           # purpose: double quote, for double-quoted string contexts | applies: params rendered in double-quoted SQL strings | limit: syntax probe only
')                          # purpose: closing paren + quote, for function-wrapped params, e.g. WHERE id=('$id') | applies: params passed through a SQL function wrapper | limit: syntax probe only
")                          # purpose: double-quote variant of the above | applies: same as above, double-quoted variant | limit: syntax probe only
`                           # purpose: backtick, MySQL identifier-quote context | applies: MySQL-suspected targets or unknown engine | limit: syntax probe only
;                           # purpose: statement terminator, some drivers/engines surface a distinct error | applies: any candidate; also used to gauge stacked-query support | limit: syntax probe only, do not chain a second statement here
--                          # purpose: inline comment marker, checks whether the rest of the query is swallowed | applies: any candidate | limit: syntax probe only
%27                         # purpose: URL-encoded single quote, for params that get decoded before reaching the query layer | applies: params that appear to be double-decoded or pass through an encoding layer | limit: syntax probe only

# --- Engine fingerprinting — extended reference (indicators only, not exploit payloads) ---
# Use this table to narrow down the engine before selecting Phase 2
# payloads, per SKILL.md "Engine identification". These are recognition
# signals — function names, concatenation syntax, comment syntax — not
# payloads to inject for effect. Pair with the error-string reference
# below when a probe does produce a visible error.
#
# Engine     | Function-based tell               | String concatenation      | Comment syntax
# -----------|-------------------------------------|----------------------------|----------------
# MySQL      | version(), database(), user()       | CONCAT(a,b) or a||b*       | -- , #, /* */
# Postgres   | version(), current_database()        | a || b                     | -- , /* */
# MSSQL      | @@version, DB_NAME()                 | a + b                      | -- , /* */
# Oracle     | banner from v$version, USER          | a || b                     | -- , /* */
# SQLite     | sqlite_version()                     | a || b                     | -- , /* */
# * MySQL only treats || as concatenation in PIPES_AS_CONCAT sql_mode; CONCAT() is the reliable default.
#
# These indicators are for identification only — do not use a
# function-based tell as a live extraction probe outside of the Phase 3
# fingerprint reads further down this file.

# Error-string reference (for engine identification — see SKILL.md):
#   MySQL:    "SQL syntax.*MySQL", "Warning: mysqli"
#   Postgres: "pg_query", "PostgreSQL.*ERROR", "SQLSTATE"
#   MSSQL:    "Microsoft OLE DB", "Unclosed quotation mark", "System.Data.SqlClient"
#   Oracle:   "ORA-\d{5}"
#   SQLite:   "SQLite3::", "sqlite3.OperationalError"

# --- Quoted-string vs. numeric context — try both if unclear ---
# Per SKILL.md 1b: if the parameter's data type/context isn't already
# clear (e.g. an ID that always renders as a bare number vs. a value
# rendered inside quotes elsewhere in the app), don't guess which context
# applies — try one quoted-string-style probe and one bare-numeric probe
# as a pair, and record which one produced a signal in the result's
# `injection_context` field. See the paired boolean examples in Phase 2
# below (`1 AND 1=1` vs `1' AND '1'='1`) for the standard pairing to reuse
